"PID","MS_SubClassOne_and_Half_Story_Finished_All_Ages","MS_SubClassOne_Story_1946_and_Newer_All_Styles","MS_SubClassOne_Story_PUD_1946_and_Newer","MS_SubClassTwo_Story_1946_and_Newer","MS_ZoningResidential_Low_Density","MS_ZoningResidential_Medium_Density","Lot_Frontage","Lot_Area","AlleyNo_Alley_Access","Lot_ShapeRegular","Lot_ShapeSlightly_Irregular","Land_ContourLvl","Lot_ConfigCorner","Lot_ConfigCulDSac","Lot_ConfigInside","NeighborhoodCollege_Creek","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodNorth_Ames","NeighborhoodNorthridge_Heights","NeighborhoodOld_Town","NeighborhoodSawyer","NeighborhoodSomerset","Condition_1Feedr","Condition_1Norm","Bldg_TypeOneFam","Bldg_TypeTwnhsE","House_StyleOne_and_Half_Fin","House_StyleOne_Story","House_StyleTwo_Story","Overall_QualAbove_Average","Overall_QualAverage","Overall_QualBelow_Average","Overall_QualGood","Overall_QualVery_Good","Overall_CondAbove_Average","Overall_CondAverage","Overall_CondGood","Year_Built","Year_Remod_Add","Roof_StyleGable","Roof_StyleHip","Exterior_1stHdBoard","Exterior_1stMetalSd","Exterior_1stPlywood","Exterior_1stVinylSd","Exterior_1stWd.Sdng","Exterior_2ndHdBoard","Exterior_2ndMetalSd","Exterior_2ndPlywood","Exterior_2ndVinylSd","Exterior_2ndWd.Sdng","Mas_Vnr_TypeBrkFace","Mas_Vnr_TypeNone","Mas_Vnr_TypeStone","Mas_Vnr_Area","Exter_QualGood","Exter_QualTypical","Exter_CondGood","Exter_CondTypical","FoundationBrkTil","FoundationCBlock","FoundationPConc","Bsmt_QualExcellent","Bsmt_QualGood","Bsmt_QualTypical","Bsmt_CondTypical","Bsmt_ExposureAv","Bsmt_ExposureGd","Bsmt_ExposureMn","Bsmt_ExposureNo","BsmtFin_Type_1ALQ","BsmtFin_Type_1BLQ","BsmtFin_Type_1GLQ","BsmtFin_Type_1LwQ","BsmtFin_Type_1Rec","BsmtFin_Type_1Unf","BsmtFin_SF_1","BsmtFin_Type_2Unf","Bsmt_Unf_SF","Total_Bsmt_SF","Heating_QCExcellent","Heating_QCGood","Heating_QCTypical","Central_AirN","Central_AirY","ElectricalFuseA","ElectricalSBrkr","First_Flr_SF","Second_Flr_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_QualExcellent","Kitchen_QualGood","Kitchen_QualTypical","TotRms_AbvGrd","FunctionalTyp","Fireplaces","Fireplace_QuGood","Fireplace_QuNo_Fireplace","Fireplace_QuTypical","Garage_TypeAttchd","Garage_TypeBuiltIn","Garage_TypeDetchd","Garage_TypeNo_Garage","Garage_Yr_Blt","Garage_FinishFin","Garage_FinishNo_Garage","Garage_FinishRFn","Garage_FinishUnf","Garage_Cars","Garage_Area","Garage_QualNo_Garage","Garage_QualTypical","Garage_CondNo_Garage","Garage_CondTypical","Paved_DriveDirt_Gravel","Paved_DrivePaved","Wood_Deck_SF","FenceMinimum_Privacy","FenceNo_Fence","Mo_Sold","Year_Sold","Sale_TypeNew","Sale_TypeWD.","Sale_ConditionAbnorml","Sale_ConditionNormal","Sale_ConditionPartial","Longitude","Latitude"
527163010,0,0,0,1,1,0,75,10000,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1993,1994,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,7,1,763,763,0,1,0,0,1,0,1,763,892,1655,0,0,2,1,3,0,0,1,7,1,1,0,0,1,1,0,0,0,1993,1,0,0,0,2,440,0,1,0,1,0,1,157,0,1,4,2010,0,1,0,1,0,-93.636947,42.05848
527165230,0,1,0,0,1,0,0,7980,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1992,2007,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,233,1168,1,0,0,0,1,0,1,1187,0,1187,1,0,2,0,3,0,0,1,6,1,0,0,1,0,1,0,0,0,1992,1,0,0,0,2,420,0,1,0,1,0,1,483,0,0,3,2010,0,1,0,1,0,-93.635951,42.057419
527166040,0,0,0,1,1,0,63,8402,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1998,1998,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,7,1,789,789,0,1,0,0,1,0,1,789,676,1465,0,0,2,1,3,0,0,1,7,1,1,1,0,0,1,0,0,0,1998,1,0,0,0,2,393,0,1,0,1,0,1,0,0,1,5,2010,0,1,0,1,0,-93.638647,42.058151
527180040,0,1,0,0,1,0,85,10176,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1990,1990,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,3,1,663,1300,0,1,0,0,1,0,1,1341,0,1341,1,0,1,1,2,0,1,0,5,1,1,0,0,0,1,0,0,0,1990,0,0,0,1,2,506,0,1,0,1,0,1,192,0,1,2,2010,0,1,0,1,0,-93.634626,42.057268
527182190,0,0,1,0,1,0,0,6820,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1985,1985,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,1488,0,0,1,0,1,0,1,1502,0,1502,1,0,1,1,1,0,1,0,4,1,0,0,1,0,1,0,0,0,1985,0,0,1,0,2,528,0,1,0,1,0,1,0,0,1,6,2010,0,1,0,1,0,-93.632913,42.059169
527216070,0,0,0,1,1,0,47,53504,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,2003,2003,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,603,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,234,1650,1,0,0,0,1,0,1,1690,1589,3279,1,0,3,1,4,1,0,0,12,0,1,1,0,0,0,1,0,0,2003,1,0,0,0,3,841,0,1,0,1,0,1,503,0,1,6,2010,0,1,0,1,0,-93.62655,42.061239
527225035,1,0,0,0,1,0,152,12134,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1988,2005,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,1,132,559,0,1,0,0,1,0,1,1080,672,1752,0,0,2,0,4,0,0,1,8,1,0,0,1,0,0,0,0,0,1988,0,0,1,0,2,492,0,1,0,1,0,1,325,0,1,6,2010,0,1,0,1,0,-93.6235954,42.0603514
527258010,0,1,0,0,1,0,88,11394,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2010,2010,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,350,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,3,1,411,1856,1,0,0,0,1,0,1,1856,0,1856,1,0,1,1,1,1,0,0,8,1,1,0,0,0,1,0,0,0,2010,1,0,0,0,3,834,0,1,0,1,0,1,113,0,1,6,2010,1,0,0,0,1,-93.628804,42.05885
527276150,0,1,0,0,1,0,140,19138,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1951,1951,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,4,1,744,864,1,0,0,0,1,0,1,864,0,864,0,0,1,0,2,0,0,1,4,1,0,0,1,0,0,0,1,0,1951,0,0,0,1,2,400,0,1,0,1,0,1,0,0,1,6,2010,0,1,0,1,0,-93.622971,42.056673
527302110,0,1,0,0,1,0,85,13175,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1978,1988,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,119,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,589,1542,0,0,1,0,1,0,1,2073,0,2073,1,0,2,0,3,0,0,1,7,0,2,0,0,1,1,0,0,0,1978,0,0,0,1,2,500,0,1,0,1,0,1,349,1,0,2,2010,0,1,0,1,0,-93.636655,42.054453
527358140,0,1,0,0,1,0,105,11751,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1977,1977,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,480,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2,1,1139,1844,1,0,0,0,1,0,1,1844,0,1844,0,0,2,0,3,0,0,1,7,1,1,0,0,1,1,0,0,0,1977,0,0,1,0,2,546,0,1,0,1,0,1,0,1,0,1,2010,0,0,0,1,0,-93.633962,42.050346
527358200,0,0,0,0,1,0,85,10625,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1974,1974,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,81,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,1053,0,0,1,0,1,0,1,1173,0,1173,1,0,2,0,3,0,1,0,6,1,2,0,0,1,1,0,0,0,1974,0,0,1,0,2,528,0,1,0,1,0,1,0,1,0,1,2010,0,1,0,0,0,-93.636372,42.05027
527368020,0,0,0,1,0,0,0,7500,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,2000,2000,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,3,1,281,814,1,0,0,0,1,0,1,814,860,1674,1,0,2,1,3,0,1,0,7,1,0,0,1,0,1,0,0,0,2000,0,0,1,0,2,663,0,1,0,1,0,1,0,0,1,1,2010,0,1,0,1,0,-93.639366,42.049297
527402200,0,1,0,0,1,0,0,11241,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1970,1970,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,180,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,426,1004,1,0,0,0,1,0,1,1004,0,1004,1,0,1,0,2,0,0,1,5,1,1,0,0,1,1,0,0,0,1970,1,0,0,0,2,480,0,1,0,1,0,1,0,0,1,3,2010,0,1,0,1,0,-93.626231,42.055147
527402250,0,1,0,0,1,0,0,12537,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1971,2008,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,1,344,1078,1,0,0,0,1,0,1,1078,0,1078,1,0,1,1,3,0,0,1,6,1,1,0,0,0,1,0,0,0,1971,1,0,0,0,2,500,0,1,0,1,0,1,0,0,1,4,2010,0,1,0,1,0,-93.626537,42.054592
527403020,0,1,0,0,1,0,65,8450,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1968,1968,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,2,1,281,1056,1,0,0,0,1,0,1,1056,0,1056,1,0,1,0,3,0,0,1,6,1,1,0,0,0,1,0,0,0,1968,0,0,0,1,1,304,0,1,0,1,0,1,0,0,1,7,2010,0,1,0,1,0,-93.628806,42.055227
527404120,0,1,0,0,1,0,70,8400,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1970,1970,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,882,0,0,1,0,1,0,1,882,0,882,1,0,1,0,2,0,0,1,4,1,0,0,1,0,1,0,0,0,1970,1,0,0,0,2,525,0,1,0,1,0,1,240,1,0,4,2010,0,1,0,1,0,-93.627112,42.053395
527425090,0,1,0,0,1,0,70,10500,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1971,1971,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,432,864,0,0,1,0,1,0,1,864,0,864,0,0,1,0,3,0,0,1,5,1,1,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,4,2010,0,0,0,1,0,-93.622769,42.056375
527427230,0,0,1,0,0,0,26,5858,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1999,1999,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,3,0,354,1405,1,0,0,0,1,0,1,1337,0,1337,1,0,2,0,2,0,1,0,5,1,1,0,0,0,1,0,0,0,1999,1,0,0,0,2,511,0,1,0,1,0,1,203,0,1,6,2010,0,1,0,1,0,-93.624373,42.055318
527451180,0,0,0,0,0,1,21,1680,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1971,1971,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,504,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,6,1,327,483,0,0,1,0,1,0,1,483,504,987,0,0,1,1,2,0,0,1,5,1,0,0,1,0,0,0,1,0,1971,0,0,0,1,1,264,0,1,0,1,0,1,275,0,1,2,2010,0,0,0,1,0,-93.627271,42.051835
527451330,0,0,0,0,0,1,21,1680,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1971,1971,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,492,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,6,1,225,525,0,0,1,0,1,0,1,525,567,1092,0,0,1,1,3,0,0,1,6,1,0,0,1,0,0,0,1,0,1997,0,0,0,1,1,320,0,1,0,1,0,1,0,0,1,3,2010,0,1,0,1,0,-93.627536,42.051684
527451410,0,0,0,0,0,1,21,1680,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1971,1971,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,381,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,7,1,525,525,0,0,1,0,1,0,1,525,567,1092,0,0,1,1,3,0,0,1,6,1,0,0,1,0,0,0,1,0,1971,0,0,0,1,1,264,0,1,0,1,0,1,0,0,1,3,2010,0,1,0,0,0,-93.62728,42.051685
527452190,0,0,1,0,1,0,53,4043,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1977,1977,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,709,1069,0,0,1,0,1,0,1,1069,0,1069,0,0,2,0,2,0,0,1,4,1,1,0,0,0,1,0,0,0,1977,0,0,1,0,2,440,0,1,0,1,0,1,0,0,1,7,2010,0,1,0,1,0,-93.627232,42.049672
527453130,0,0,0,0,1,0,24,2280,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1975,1975,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,341,855,0,0,1,0,1,0,1,855,601,1456,0,0,2,1,3,0,1,0,6,1,1,0,0,1,1,0,0,0,1975,0,0,0,1,2,440,0,1,0,1,0,1,173,0,1,6,2010,0,1,0,1,0,-93.625924,42.050683
527453150,0,0,1,0,1,0,24,2280,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1975,1975,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,7,1,836,836,1,0,0,0,1,0,1,836,0,836,0,0,1,0,2,0,0,1,4,1,0,0,1,0,1,0,0,0,1975,0,0,0,1,1,308,0,1,0,1,0,1,0,0,1,6,2010,0,1,0,1,0,-93.625966,42.050681
527454200,0,0,0,0,1,0,24,2280,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1978,1978,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,544,855,0,0,0,0,1,0,1,855,601,1456,0,0,2,1,3,0,0,1,7,1,1,0,0,1,1,0,0,0,1978,0,0,0,1,2,440,0,1,0,1,0,1,26,0,1,7,2010,0,1,0,1,0,-93.625848,42.049811
528108120,0,0,0,1,1,0,102,12858,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2009,2010,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,162,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,7,1,1590,1590,1,0,0,0,1,0,1,1627,707,2334,0,0,2,1,3,1,0,0,10,1,1,1,0,0,1,0,0,0,2009,1,0,0,0,3,751,0,1,0,1,0,1,144,0,1,1,2010,1,0,0,0,1,-93.653201,42.062352
